feature,coefficient,abs_coefficient
cat__model_ Camry,-0.13322383992976278,0.13322383992976278
cat__model_ GLA Class,-0.13281283210762931,0.13281283210762931
cat__model_ GLC Class,0.13185836343156904,0.13185836343156904
cat__model_ Arteon,0.13140045727250693,0.13140045727250693
cat__model_ Sharan,0.1304065956343502,0.1304065956343502
cat__model_ 8 Series,0.12774151212859963,0.12774151212859963
cat__model_ Cascada,0.1275322642294451,0.1275322642294451
cat__model_ GT86,0.1269037302450724,0.1269037302450724
num__engineSize,0.12544215834808042,0.12544215834808042
cat__model_ Accent,-0.1251528485185182,0.1251528485185182
cat__model_ RAV4,0.12457825589339361,0.12457825589339361
cat__model_ Kamiq,0.11893761832044362,0.11893761832044362
cat__model_ Grand Tourneo Connect,0.11786079679044409,0.11786079679044409
cat__model_ Prius,0.11684806117259935,0.11684806117259935
cat__model_ V Class,0.11681837208405794,0.11681837208405794
cat__model_ IX35,0.1158572259435319,0.1158572259435319
cat__model_ 7 Series,0.11478466960630036,0.11478466960630036
cat__model_ Kona,0.11442450561805487,0.11442450561805487
cat__model_ A5,-0.11188509634955886,0.11188509634955886
cat__model_ X1,-0.10988151346665563,0.10988151346665563
cat__model_ T-Roc,0.10765224956987485,0.10765224956987485
cat__model_ Yeti Outdoor,0.10535412007005499,0.10535412007005499
cat__model_ SQ7,0.1048732451896688,0.1048732451896688
cat__model_ Caddy Maxi Life,-0.10440300086871704,0.10440300086871704
cat__model_ C-MAX,-0.10309880036557079,0.10309880036557079
cat__model_ RS6,0.1025330506022475,0.1025330506022475
num__car_age,-0.10146496404371502,0.10146496404371502
num__year,0.10146496403751915,0.10146496403751915
cat__model_ C-HR,0.10145662298790141,0.10145662298790141
cat__model_ Z4,-0.10138389406388847,0.10138389406388847
cat__model_200,-0.098874805493983,0.098874805493983
cat__model_ RS3,0.09855300408811188,0.09855300408811188
cat__model_ X2,-0.09824742981497736,0.09824742981497736
cat__model_ Yeti,0.09577130484211943,0.09577130484211943
cat__model_ Tourneo Connect,0.09506303316584189,0.09506303316584189
cat__model_ CL Class,-0.09394953231346162,0.09394953231346162
cat__model_ Kadjar,0.09342676158098924,0.09342676158098924
cat__model_ Caddy Life,-0.09335074986066773,0.09335074986066773
cat__model_ C Class,-0.09237905178833458,0.09237905178833458
cat__model_ Zafira Tourer,0.09129810237968447,0.09129810237968447
cat__model_ Verso,-0.09036600266892522,0.09036600266892522
cat__fuelType_Hybrid,0.09028378800490455,0.09028378800490455
cat__model_ TT,-0.08824911968082945,0.08824911968082945
cat__model_ X4,0.0875745522225903,0.0875745522225903
cat__model_ Zafira,0.08296167242764908,0.08296167242764908
cat__model_ CLA Class,-0.08194415029948096,0.08194415029948096
cat__brand_Hyundai,-0.0777174595350373,0.0777174595350373
cat__model_ Golf SV,-0.07665721029025649,0.07665721029025649
cat__fuelType_Diesel,-0.07556639045443736,0.07556639045443736
