feature,importance
cat__model_ Auris,0.00030482506723818485
cat__model_ 5 Series,0.0003017274013706491
cat__model_ A4,0.0002966297029016777
cat__model_ Yeti Outdoor,0.00028775779386089616
cat__model_ S-MAX,0.0002874997085165485
cat__model_ KA,0.0002798220583356683
cat__model_ Mondeo,0.0002766432269746874
cat__model_ Galaxy,0.0002683660114744981
cat__model_ Citigo,0.00026519211589031056
cat__model_ EcoSport,0.00025140478792507127
cat__model_ Insignia,0.00024607560798048074
cat__fuelType_Hybrid,0.0002400432239600051
cat__model_ 7 Series,0.0002395562771780664
cat__model_ Passat,0.00023236181251068535
cat__model_ I30,0.00022996720102766495
cat__model_ Superb,0.00022119526959645495
cat__model_ Karoq,0.00021704980654070865
cat__model_ IX20,0.00021639141382400886
cat__model_ S Class,0.0002151566984788226
cat__model_ Touran,0.00021304058871066087
cat__model_ X4,0.00021073432293836037
cat__model_ Mokka X,0.00020595898224256754
cat__model_ A3,0.00020484053775942455
cat__model_ Q7,0.00018903236593392512
cat__model_ X1,0.0001889711848738397
cat__model_ C-MAX,0.000188199792365453
cat__model_ Mokka,0.000177811069763216
cat__model_ 4 Series,0.00017653905855284202
cat__model_ A6,0.00015563872027980018
cat__model_ A5,0.00014513493276702998
cat__model_ Q2,0.00013724999749819606
cat__model_ GLA Class,0.00013421869732764105
cat__model_ CL Class,0.00012952616002237163
cat__model_ B-MAX,0.000123776334458377
cat__model_ Edge,0.00011700405530316166
cat__model_ Kamiq,0.00010544390693403605
cat__model_ Zafira,9.926892761644481e-05
cat__model_ X6,9.917089001037093e-05
cat__model_ Vivaro,9.829316853825257e-05
cat__model_ Scirocco,8.817505297725803e-05
cat__model_ Rapid,8.088943466626958e-05
cat__model_ Z4,8.043970516164169e-05
cat__model_ Corolla,7.367209238853933e-05
cat__model_ Grand C-MAX,7.081053633344952e-05
cat__model_ Scala,7.057817938849969e-05
cat__model_ Arteon,7.036388618114422e-05
cat__model_ TT,6.502894687268551e-05
cat__model_ I800,6.254631175309157e-05
cat__model_ M Class,5.989798399416492e-05
cat__model_ 6 Series,5.942182657286308e-05
cat__model_ Caddy Maxi Life,5.9013214566145036e-05
cat__model_ Sharan,5.89118409353723e-05
cat__model_ Kona,5.850788042178009e-05
